Image,IoU
img_1,0.4117647058823529
img_2,0.2
img_3,0.2727272727272727
img_4,0.3333333333333333
img_5,0.15151515151515152
img_6,0.3333333333333333
img_7,0.75
img_8,0.1935483870967742
img_9,0.5714285714285714
img_10,0.28
img_11,0.4166666666666667
img_12,0.6666666666666666
img_13,0.1794871794871795
img_14,0.7272727272727273
img_15,0.42857142857142855
img_16,0.16666666666666666
img_17,0.16666666666666666
img_18,0.42857142857142855
img_19,0.75
img_20,0.8
img_21,0.25
img_22,0.14634146341463414
img_23,0.4444444444444444
img_24,0.3125
img_25,0.5714285714285714
img_26,0.47368421052631576
img_27,0.23076923076923078
img_28,0.28
img_29,0.5714285714285714
img_30,0.5
img_31,0.4411764705882353
img_32,0.25
img_33,0.19047619047619047
img_34,0.1875
img_35,0.5
img_36,0.3
img_37,0.2222222222222222
img_38,0.36363636363636365
img_39,0.6
img_40,0.5
img_41,0.3333333333333333
img_42,0.5
img_43,0.23076923076923078
img_44,0.6666666666666666
img_45,0.42105263157894735
img_46,0.6428571428571429
img_47,0.5
img_48,0.25
img_49,1.0
img_50,0.19230769230769232
Average,0.4060162924466803
